,powder index,Population,Milex,Human capital,Country,Year
克罗地亚,0.220165221,0.004087843,0.966358717,0.729 ,Croatia,2018
肯尼亚,0.272381992,0.05139257,1.113648362,0.542 ,Kenya,2018
拉脱维亚,0.151182162,0.001927174,0.709370537,0.738 ,Latvia,2018
莱索托,0.007507983,0.002108327,0.051064348,0.398 ,Lesotho,2018
老挝,0,0.007061498,0,0.457 ,Laos,2018
黎巴嫩,0.159972746,0.006859408,2.775557816,0.525 ,Lebanon,2018
立陶宛,0.208772192,0.002801543,1.056383745,0.727 ,Lithuania,2018
利比里亚,0.007163017,0.004818976,0.0167885,0.318 ,Liberia,2018
卢森堡,0.05369985,0.00060795,0.393243517,0.692 ,Luxembourg,2018
卢旺达,0.028932937,0.012301969,0.118959174,0.377 ,Rwanda,2018
罗马尼亚,0.48560074,0.01947397,4.359021209,0.594 ,Romania,2018
马达加斯加,0.039001333,0.026262313,0.073258425,0.385 ,Madagascar,2018
马耳他,0.015901903,0.00048463,0.066869091,0.708 ,Malta,2018
马拉维,0.029330228,0.018143215,0.058369173,0.411 ,Malawi,2018
马来西亚,0.614054819,0.031528033,3.44504372,0.633 ,Malaysia,2018
马里,0.053872346,0.019077755,0.481728184,0.322 ,Mali,2018
马其顿,0,,,0.535 ,North Macedonia,2018
马绍尔群岛,0,0.000058412,0,0.404 ,Marshall Islands,2018
毛里求斯,0.007695667,0.001265303,0.022917094,0.623 ,Mauritius,2018
毛里塔尼亚,0.016635384,0.004403312,0.159013353,0.371 ,Mauritania,2018
美国,76.4879513,0.326838199,682.4914,0.714 ,United States,2018
蒙古国 蒙古,0.026039028,0.003170214,0.09606749,0.617 ,Mongolia,2018
孟加拉,0.674386319,0.161376713,3.649623808,0.459 ,Bangladesh,2018
秘鲁,0.442070661,0.031989265,2.648683287,0.595 ,Peru,2018
密克罗尼西亚联邦,0,0.00011264,0,0.466 ,Federated States of Micronesia,2018
缅甸,0.260799964,0.053708318,1.529364478,0.472 ,Myanmar,2018
摩尔多瓦,0.01247475,0.002708214,0.03740469,0.582 ,Moldova,2018
摩洛哥,0.352566908,0.036029089,3.696856945,0.493 ,Morocco,2018
莫桑比克,0.057883329,0.029496009,0.196535453,0.355 ,Mozambique,2018
墨西哥,1.317196349,0.126190782,5.839521271,0.612 ,Mexico,2018
纳米比亚,0.025064192,0.0024483,0.455569084,0.445 ,Namibia,2018
南非,0.33210223,0.05779252,3.622918743,0.423 ,South Africa,2018
南苏丹,0.02438063,0.010975924,0.149092425,0.306 ,South Sudan,2018
尼加拉瓜,0,0.006465502,0,0.507 ,Nicaragua,2018
尼泊尔,0.047787246,0.028095712,0.081593933,0.498 ,Nepal,2018
尼日尔,0.057373872,0.022442831,0.429373006,0.318 ,Niger,2018
尼日利亚,0.207243432,0.195874685,0.229639906,0.355 ,Nigeria,2018
挪威,0.515152013,0.005311916,2.043051719,0.769 ,Norway,2018
帕劳,0.027787661,0.000017911,7.541055169,0.567 ,Palau,2018
葡萄牙,1.158026522,0.010283822,4.273809945,0.783 ,Portugal,2018
日本,18.19320503,0.126811,46.61795486,0.841 ,Japan,2018
瑞典,1.640997785,0.010175214,5.732822794,0.803 ,Sweden,2018
瑞士,1.065509212,0.008514329,4.654732701,0.766 ,Switzerland,2018
萨尔瓦多,0.05166154,0.00642074,0.29461,0.545 ,El Salvador,2018
萨摩亚,0,0.000196128,0,0.522 ,Samoa,2018
塞尔维亚,0.260068842,0.006982604,0.817742206,0.759 ,Serbia,2018
塞拉利昂,0.012341986,0.007650149,0.029622478,0.353 ,Sierra Leone,2018
塞内加尔,0.060745638,0.015854324,0.385132363,0.421 ,Senegal,2018
塞浦路斯,0.104937063,0.001189262,0.45040898,0.755 ,Cyprus,2018
塞舌尔,0.002925743,0.000096762,0.021561448,0.631 ,Seychelles,2018
沙特阿拉伯,2.95061038,0.033702757,74.47733333,0.581 ,Saudi Arabia,2018
圣基茨和尼维斯,0,0.000052438,0,0.572 ,Saint Kitts and Nevis,2018
圣卢西亚,0,0.00018189,0,0.589 ,Saint Lucia,2018
圣文森特和格林纳丁斯,0,0.00011021,0,0.536 ,Saint Vincent and the Grenadines,2018
斯里兰卡,0.282242622,0.02167,1.638914327,0.593 ,Sri Lanka,2018
斯洛伐克,0.225036182,0.005446771,1.295988102,0.680 ,Slovakia,2018
斯洛文尼亚,0.164141886,0.002073894,0.529496123,0.789 ,Slovenia,2018
斯威士兰,0.005851693,0.001136274,0.09586338,0.370 ,Eswatini,2018
苏丹,0.140383958,0.041801532,1.04787872,0.376 ,Sudan,2018
所罗门群岛,0,0.000652856,0,0.431 ,Solomon Islands,2018
塔吉克斯坦,0.029853473,0.009100847,0.081419635,0.542 ,Tajikistan,2018
泰国,1.182150968,0.069428454,6.876114543,0.617 ,Thailand,2018
坦桑尼亚,0.140443486,0.056313444,0.599968275,0.386 ,Tanzania,2018
汤加,0,0.000103199,0,0.518 ,Tonga,2018
特立尼达和多巴哥,0.024779781,0.001389841,0.16600853,0.602 ,Trinidad and Tobago,2018
突尼斯,0.102970263,0.011565203,0.844227367,0.510 ,Tunisia,2018
图瓦卢,0,0.000011505,0,0.441 ,Tuvalu,2018
土耳其,2.525949271,0.08234009,19.64869382,0.625 ,Turkey,2018
瓦努阿图,0,0.000292675,0,0.445 ,Vanuatu,2018
危地马拉,0.059159743,0.01634695,0.273114977,0.457 ,Guatemala,2018
乌干达,0.101235246,0.042729032,0.408367567,0.382 ,Uganda,2018
乌克兰,0.822988983,0.044622518,4.169707536,0.642 ,Ukraine,2018
乌拉圭,0.12124954,0.00344929,1.271117731,0.602 ,Uruguay,2018
西班牙,3.715949308,0.046797754,17.82327113,0.736 ,Spain,2018
希腊,0.84563113,0.010732882,5.757114361,0.695 ,Greece,2018
香港,0,0.0074526,0,0.822 ,Hong Kong,2018
新加坡,4.517991047,0.005638676,10.58191569,0.887 ,Singapore,2018
新西兰,0.60505026,0.0049006,2.525003415,0.771 ,New Zealand,2018
匈牙利,0.385268611,0.009775564,1.791545365,0.705 ,Hungary,2018
牙买加,0.029334322,0.002934853,0.209675821,0.539 ,Jamaica,2018
亚美尼亚,0.059332306,0.002951741,0.513252026,0.582 ,Armenia,2018
也门,0,0.028498683,0,0.373 ,Yemen,2018
伊拉克,0.295060238,0.038433604,6.31797715,0.399 ,Iraq,2018
伊朗,1.509020373,0.081800204,11.23085229,0.592 ,Iran,2018
以色列,3.181951862,0.0088828,19.75917345,0.763 ,Israel,2018
意大利,6.2117674,0.06042176,28.42009844,0.753 ,Italy,2018
印度,8.923065601,1.35 ,66.25780172,0.485 ,India,2018
印尼,1.614492472,0.267670549,7.556824711,0.538 ,Indonesia,2018
英国,12.41049907,0.066460344,55.68022821,0.777 ,United Kingdom,2018
约旦,0.178956415,0.009965322,1.957746479,0.547 ,Jordan,2018
越南,1.548306422,0.095545959,5.5,0.687 ,Vietnam,2018
赞比亚,0.057916881,0.017351714,0.378025431,0.391 ,Zambia,2018
乍得,0.03569787,0.015477727,0.253174123,0.299 ,Chad,2018
智利,0.825442493,0.018729166,5.545831933,0.665 ,Chile,2018
中国 内地,38.30161901,1.40276,232.530596,0.647 ,China (Mainland),2018
阿尔巴尼亚,0.045069749,0.002837849,0.222022691,0.634 ,Albania,2020
阿尔及利亚,0.786324001,0.043851043,9.70827744,0.535 ,Algeria,2020
阿富汗,0.085704451,0.038928341,0.279576955,0.400 ,Afghanistan,2020
阿根廷,0.55550986,0.045376763,2.907185374,0.602 ,Argentina,2020
阿曼,0.403056044,0.005106622,6.729518856,0.608 ,Oman,2020
阿塞拜疆,0.228742156,0.010093121,2.237764706,0.578 ,Azerbaijan,2020
埃及,0.664706409,0.102334403,4.505374644,0.494 ,Egypt,2020
埃塞俄比亚,0.195670908,0.114963583,0.461257624,0.383 ,Ethiopia,2020
爱尔兰,0.37062999,0.004985674,1.144420381,0.793 ,Ireland,2020
爱沙尼亚,0.173485813,0.001329479,0.701014476,0.777 ,Estonia,2020
安哥拉,0.113051576,0.032866268,0.993594405,0.362 ,Angola,2020
安提瓜和巴布达,0,0.000097928,0,0.596 ,Antigua and Barbuda,2020
奥地利,0.787823935,0.008916864,3.601618603,0.747 ,Austria,2020
澳大利亚,5.542564599,0.025693267,27.53623538,0.770 ,Australia,2020
澳门,0,0.000649342,0,0.796 ,Macau,2020
巴布亚新几内亚,0.023618122,0.008947027,0.085887097,0.429 ,Papua New Guinea,2020
巴基斯坦,1.054569045,0.220892331,10.37638162,0.406 ,Pakistan,2020
巴拉圭,0.056952866,0.00713253,0.3643422,0.528 ,Paraguay,2020
巴林,0.136130593,0.001701583,1.404787234,0.652 ,Bahrain,2020
巴拿马,0,0.004314768,0,0.502 ,Panama,2020
巴西,2.586488208,0.212559409,19.73634776,0.551 ,Brazil,2020
白俄罗斯,0.218996621,0.009379952,0.844512941,0.700 ,Belarus,2020
保加利亚,0.167997183,0.006934015,1.247231612,0.614 ,Bulgaria,2020
贝宁,0.024710858,0.012123198,0.071817818,0.400 ,Benin,2020
比利时,1.248614772,0.011544241,5.461187735,0.760 ,Belgium,2020
冰岛,0,0.000366463,0,0.745 ,Iceland,2020
波多黎各,0,0.003281538,0,0.580 ,Puerto Rico,2020
波兰,3.080461338,0.03789907,13.02668035,0.753 ,Poland,2020
博茨瓦纳,0.022428836,0.002351625,0.54575678,0.414 ,Botswana,2020
不丹,0,0.000771612,0,0.475 ,Bhutan,2020
布基纳法索,0.063764396,0.020903278,0.382464677,0.384 ,Burkina Faso,2020
布隆迪,0.023246347,0.011890781,0.067474093,0.386 ,Burundi,2020
丹麦,0.949602508,0.005831404,4.953363914,0.755 ,Denmark,2020
德国,10.59242684,0.083160871,52.7647612,0.751 ,Germany,2020
多哥,0.025917348,0.008278737,0.116304933,0.432 ,Togo,2020
多米尼加,0.08151277,0.010847904,0.599052525,0.503 ,Dominican Republic,2020
多米尼克,0,0.000071991,0,0.545 ,Dominica,2020
俄罗斯,8.952340614,0.144073139,61.71253717,0.681 ,Russia,2020
厄瓜多尔,0.314119858,0.01764306,2.2435,0.594 ,Ecuador,2020
法国,10.85521915,0.067379908,52.74706486,0.763 ,France,2020
菲律宾,0.676606746,0.109581085,3.732673666,0.516 ,Philippines,2020
斐济群岛,0.008430337,0.000896444,0.073510782,0.509 ,Fiji,2020
芬兰,1.062271179,0.005529543,4.08754132,0.796 ,Finland,2020
冈比亚,0.005188871,0.002416664,0.014804958,0.422 ,Gambia,2020
刚果（布）,0.029401514,0.005518092,0.298382192,0.419 ,Congo (Brazzaville),2020
刚果（金）,0.149415704,0.089561404,0.362091616,0.366 ,Congo (Kinshasa),2020
哥伦比亚,1.177996049,0.050882884,9.216420436,0.604 ,Colombia,2020
哥斯达黎加,0,0.005094114,0,0.629 ,Costa Rica,2020
格林纳达,0,0.000112519,0,0.565 ,Grenada,2020
格陵兰,0,0.000056367,0,0.569 ,Greenland,2020
圭亚那,0.007055198,0.000786559,0.066016858,0.495 ,Guyana,2020
哈萨克斯坦,0.322517438,0.018755666,1.732917214,0.629 ,Kazakhstan,2020
海地,0.002121044,0.011402533,0.000263809,0.447 ,Haiti,2020
韩国 南朝鲜,11.68218234,0.051836239,45.7353926,0.799 ,South Korea,2020
荷兰,3.156406056,0.0174415,12.57836544,0.790 ,Netherlands,2020
黑山,0.015712081,0.000621306,0.102090505,0.633 ,Montenegro,2020
洪都拉斯,0.058864264,0.009904608,0.402659083,0.481 ,Honduras,2020
基里巴斯,0,0.000119446,0,0.493 ,Kiribati,2020
吉尔吉斯斯坦,0.038568924,0.0065799,0.127499246,0.597 ,Kyrgyzstan,2020
几内亚,0.011120265,0.001967998,0.2096704,0.371 ,Guinea,2020
加拿大,6.234684905,0.038037204,22.75484713,0.798 ,Canada,2020
加纳,0.077958513,0.031072945,0.239887164,0.450 ,Ghana,2020
加蓬,0.020053389,0.002225728,0.271499818,0.458 ,Gabon,2020
柬埔寨,0.100854589,0.016718971,0.646974133,0.492 ,Cambodia,2020
捷克,0.789025293,0.010697858,3.25248783,0.752 ,Czech Republic,2020
津巴布韦,0,0.014862927,0,0.467 ,Zimbabwe,2020
喀麦隆,0.077489937,0.026545864,0.39329939,0.397 ,Cameroon,2020
卡塔尔,0,0.00288106,0,0.638 ,Qatar,2020
科摩罗,0,0.000869595,0,0.405 ,Comoros,2020
科索沃,0.007544528,0.001790133,0.078965006,0.380 ,Kosovo,2020
科威特,0.27347732,0.004270563,6.941042345,0.563 ,Kuwait,2020
克罗地亚,0.206984837,0.00404768,1.034925915,0.710 ,Croatia,2020
肯尼亚,0.280928077,0.0537713,1.106217544,0.547 ,Kenya,2020
拉脱维亚,0.13064223,0.001900449,0.756867662,0.707 ,Latvia,2020
莱索托,0.006778798,0.002142252,0.038049551,0.400 ,Lesotho,2020
老挝,0,0.007275556,0,0.457 ,Laos,2020
黎巴嫩,0.124716301,0.006825442,1.921393035,0.515 ,Lebanon,2020
立陶宛,0.198455384,0.002794885,1.170637182,0.706 ,Lithuania,2020
利比里亚,0.007436987,0.005057677,0.016937,0.319 ,Liberia,2020
卢森堡,0.060631044,0.000630419,0.489530774,0.686 ,Luxembourg,2020
卢旺达,0.032228466,0.012952209,0.143021891,0.380 ,Rwanda,2020
罗马尼亚,0.536390373,0.01925752,5.726844214,0.584 ,Romania,2020
马达加斯加,0.043443796,0.027691019,0.087357752,0.392 ,Madagascar,2020
马耳他,0.018552582,0.000515332,0.080613245,0.709 ,Malta,2020
马拉维,0.036695676,0.019129955,0.09253483,0.413 ,Malawi,2020
马来西亚,0.5958829,0.032365998,3.807710614,0.611 ,Malaysia,2020
马里,0.059334321,0.020250834,0.593365423,0.318 ,Mali,2020
马绍尔群岛,0,0.000059194,0,0.423 ,Marshall Islands,2020
毛里求斯,0.006609523,0.00126574,0.018057857,0.622 ,Mauritius,2020
毛里塔尼亚,0.019536957,0.00464966,0.200167464,0.382 ,Mauritania,2020
美国,76.88982389,0.33150108,778.2322,0.702 ,USA,2020
蒙古国,0.028727256,0.003278292,0.112178388,0.614 ,Mongolia,2020
孟加拉,0.768889928,0.164689383,4.558171468,0.464 ,Bangladesh,2020
秘鲁,0.467108937,0.032971846,2.63312339,0.605 ,Peru,2020
密克罗尼西亚联邦,0,0.000115021,0,0.506 ,Micronesia,2020
缅甸,0.335054427,0.054409794,2.445821782,0.478 ,Myanmar,2020
摩尔多瓦,0.013711061,0.002620495,0.044533781,0.584 ,Moldova,2020
摩洛哥,0.430829772,0.036910558,4.830956394,0.504 ,Morocco,2020
莫桑比克,0.055649601,0.031255435,0.153741948,0.362 ,Mozambique,2020
墨西哥,1.373243253,0.128932753,6.116376582,0.613 ,Mexico,2020
纳米比亚,0.023590167,0.002540916,0.373840175,0.446 ,Namibia,2020
南非,0.321481387,0.05930869,3.15082888,0.425 ,South Africa,2020
南苏丹,0,0.011193729,0,0.307 ,South Sudan,2020
瑙魯,0,0.000010834,0,0.508 ,Nauru,2020
尼加拉瓜,0.023195709,0.006624554,0.078038646,0.508 ,Nicaragua,2020
尼泊尔,0.112562146,0.029136808,0.424265022,0.505 ,Nepal,2020
尼日尔,0.049909605,0.024206636,0.239545068,0.316 ,Niger,2020
尼日利亚,0.511894566,0.206139587,2.567917819,0.361 ,Nigeria,2020
挪威,1.372177002,0.005379475,7.112538486,0.771 ,Norway,2020
帕劳,0,0.000018092,0,0.588 ,Palau,2020
葡萄牙,1.130556094,0.010297081,4.639120027,0.769 ,Portugal,2020
日本,15.33463844,0.126261,49.148557,0.805 ,Japan,2020
瑞典,1.729356283,0.010353442,6.453627281,0.795 ,Sweden,2020
瑞士,1.170408525,0.008636561,5.701810437,0.756 ,Switzerland,2020
萨尔瓦多,0.059244651,0.006486201,0.37228,0.546 ,El Salvador,2020
萨摩亚,0,0.00019841,0,0.548 ,Samoa,2020
塞尔维亚,0.216121874,0.006899126,1.121211783,0.677 ,Serbia,2020
塞拉利昂,0.01186338,0.007976985,0.023827381,0.363 ,Sierra Leone,2020
塞内加尔,0.063043087,0.01674393,0.393007455,0.420 ,Senegal,2020
塞浦路斯,0.100224702,0.001207361,0.418784908,0.756 ,Cyprus,2020
塞舌尔,0.002733846,0.000098462,0.018814132,0.633 ,Seychelles,2020
沙特阿拉伯,2.492371623,0.034813867,57.519424,0.576 ,Saudi Arabia,2020
圣基茨和尼维斯,0,0.000053192,0,0.586 ,Saint Kitts and Nevis,2020
圣卢西亚,0,0.000183629,0,0.603 ,Saint Lucia,2020
圣文森特和格林纳丁斯,0,0.000110947,0,0.533 ,Saint Vincent and the Grenadines,2020
斯里兰卡,0.282725648,0.021919,1.573663772,0.598 ,Sri Lanka,2020
斯洛伐克,0.261577564,0.005458827,1.83745583,0.665 ,Slovakia,2020
斯洛文尼亚,0.162638839,0.002102419,0.574831871,0.775 ,Slovenia,2020
斯威士兰,0.005485096,0.001160164,0.075109758,0.373 ,Swaziland,2020
苏丹,0.139126323,0.043849269,0.934311154,0.377 ,Sudan,2020
所罗门群岛,0,0.000686878,0,0.420 ,Solomon Islands,2020
塔吉克斯坦,0.027930444,0.009537642,0.08037001,0.504 ,Tajikistan,2020
泰国,1.190671275,0.069799978,7.340188559,0.609 ,Thailand,2020
坦桑尼亚,0.152324402,0.059734213,0.659313034,0.390 ,Tanzania,2020
汤加,0,0.000105697,0,0.531 ,Tonga,2020
特立尼达和多巴哥,0.024193289,0.001399491,0.157370327,0.603 ,Trinidad and Tobago,2020
突尼斯,0.126324306,0.011818618,1.157372367,0.517 ,Tunisia,2020
图瓦卢,0,0.000011792,0,0.448 ,Tuvalu,2020
土耳其,2.716256919,0.084339067,17.72463207,0.649 ,Turkey,2020
瓦努阿图,0,0.00030715,0,0.455 ,Vanuatu,2020
危地马拉,0.067645772,0.016858333,0.342766481,0.461 ,Guatemala,2020
文莱,0.033079074,0.000437483,0.436548223,0.626 ,Brunei,2020
乌干达,0.148738193,0.045741,0.984759732,0.384 ,Uganda,2020
乌克兰,0.973346295,0.044132049,5.92420088,0.631 ,Ukraine,2020
乌拉圭,0.112894253,0.003473727,1.163607698,0.599 ,Uruguay,2020
乌兹别克斯坦,0,0.03423205,0,0.623 ,Uzbekistan,2020
西班牙,3.50002922,0.047363419,17.43177932,0.728 ,Spain,2020
希腊,0.774393665,0.010700556,5.301379232,0.690 ,Greece,2020
香港,0,0.007481,0,0.813 ,Hong Kong,2020
新加坡,4.35593554,0.005685807,10.85558376,0.879 ,Singapore,2020
新西兰,0.720517201,0.0050902,3.011388709,0.776 ,New Zealand,2020
匈牙利,0.420325288,0.009750149,2.409532347,0.683 ,Hungary,2020
牙买加,0.031394446,0.002961161,0.244432801,0.535 ,Jamaica,2020
亚美尼亚,0.06622236,0.002963234,0.6339604,0.579 ,Armenia,2020
也门,0,0.029825968,0,0.373 ,Yemen,2020
伊拉克,0.329791537,0.040222503,7.015558808,0.408 ,Iraq,2020
伊朗,1.880616362,0.083992953,15.82514312,0.593 ,Iran,2020
以色列,2.751490939,0.0092151,21.70445349,0.734 ,Israel,2020
意大利,5.368474194,0.059449527,28.92134276,0.728 ,Italy,2020
印度,9.774338228,1.38 ,72.8874466,0.494 ,India,2020
印尼,1.846945958,0.273523621,9.395529531,0.540 ,Indonesia,2020
英国,13.58791392,0.067081,59.23846225,0.783 ,UK,2020
约旦,0.193131842,0.01020314,2.077042254,0.553 ,Jordan,2020
越南,0,0.097338583,0,0.690 ,Vietnam,2020
赞比亚,0.048534534,0.018383956,0.212142427,0.397 ,Zambia,2020
乍得,0.040113966,0.016425859,0.322866526,0.300 ,Chad,2020
智利,0.681002687,0.019116209,4.600739697,0.652 ,Chile,2020
中非,0.009031191,0.004829764,0.04130363,0.292 ,Central African Republic,2020
中国 内地,41.74307524,1.4111,252.3042237,0.653 ,China Mainland,2020
